nom_latin,nom_vernaculaire,date_derniere_observation,protection_nationale,directive_oiseaux_annexe_1,lr_nationale_2016_des_oiseaux_nicheurs,lr_ra_2008,present_en_rnn,present_abords_rnn,nicheur_en_rnn,migrateur_de_passage_en_rnn,ec_do_pop_nicheuse,valeur_patrimoniale,responsabilite_rnn,priorite_de_conservation
"Phoenicurus phoenicurus  (Linnaeus, 1758)",Rougequeue à front blanc,2017,oui,non,LC,LC,oui,non,oui,oui,En amélioration,Faible,Faible,3
"Phoenicurus ochruros  (S. G. Gmelin, 1774)",Rougequeue noir,2017,oui,non,LC,LC,non,oui,oui,non,Stable,Faible,Faible,3
"Acrocephalus scirpaceus  (Hermann, 1804)",Rousserolle effarvatte,1994,oui,non,—,—,non,oui,non,non,—,Faible,Faible,3
"Acrocephalus palustris (Bechstein, 1798)",Rousserolle verderolle,1996,oui,non,—,—,non,oui,non,non,—,Faible,Faible,3
"Serinus serinus  (Linnaeus, 1766)",Serin cini,Historique,oui,non,VU,LC,non,non,oui,oui,En déclin,Faible,Faible,3
"Sitta europaea  Linnaeus, 1758",Sittelle torchepot,2017,oui,non,LC,"NA",oui,non,oui,non,En amélioration,Faible,Faible,3
"Acanthis flammea  (Linnaeus, 1758)",Sizerin flammé,2017,oui,non,VU,"NA",oui,non,oui,non,"NA",Faible,Faible,3
"Saxicola rubicola  (Linnaeus, 1766)",Tarier pâtre,1996,oui,non,NT,LC,non,oui,oui,oui,En déclin,Faible,Faible,3
"Carduelis spinus  (Linnaeus, 1758)",Tarin des aulnes,2018,oui,non,LC,DD,non,oui,oui,oui,Inconnues,Faible,Faible,3
"Tichodroma muraria  (Linnaeus, 1758)",Tichodrome échelette,2017,oui,non,NT,LC,oui,non,oui,non,Inconnues,Faible,Moyenne,2
"Jynx torquilla  Linnaeus, 1758",Torcol fourmilier,1998,oui,non,LC,VU,oui,non,oui,oui,Stable,Faible,Moyenne,3
"Streptopelia turtur  (Linnaeus, 1758)",Tourterelle des bois,1996,non,non,—,LCm,non,oui,non,oui,—,Faible,Faible,3
"Oenanthe oenanthe  (Linnaeus, 1758)",Traquet motteux,2017,oui,non,LC,LC,oui,non,oui,oui,En déclin,Faible,Moyenne,3
"Saxicola rubetra  (Linnaeus, 1758)",Traquet tarier,2003,oui,non,—,Vum,non,oui,non,non,En déclin,Faible,Faible,3
"Troglodytes troglodytes  (Linnaeus, 1758)",Troglodyte mignon,2017,oui,non,LC,LC,non,oui,oui,non,En déclin,Faible,Faible,3
"Gyps fulvus  (Hablizl, 1783)",Vautour fauve,2000,oui,oui,—,—,oui,non,non,non,—,Moyenne,Faible,3
"Carduelis citrinella  (Pallas, 1764)",Venturon montagnard,2017,oui,non,NT,LC,oui,non,oui,non,En déclin,Moyenne,Forte,1
"Carduelis chloris  (Linnaeus, 1758)",Verdier d'Europe,2017,oui,non,VU,LC,non,oui,oui,non,En déclin,Faible,Faible,3
